available_since,company,job_description,job_title,location
30+ days ago,PT Bukalapak.com,"As a data scientist in Bukalapak, you will work closely with stakeholders to ensure that we are making data-driven decisions. You will apply analytical and statistical techniques not only to answer questions but more importantly to generate good questions. We believe that a simple answer to a good question is better than a rigorous answer to a bad question. The successful candidate will leverage statistics, machine learning, econometrics, causal inference and other tools to answer the problem at hand.,
,Responsibilities,
,Perform exploratory analysis on observational data to identify questions and potential opportunities,
,Design controlled experiments to determine incremental effects of business initiatives and product improvements,
,Apply causal inference methods to determine incremental effects when we are unable to get experimental data,
,Defining and designing metrics used for monitoring performance,
,Communicate with stakeholders to clearly define problems and expected outcomes,
,Actively promote data driven culture within the organisation,
,Requirements,
Basic Qualifications,
,Bachelor’s degree in a quantitative field e.g. Statistics, Economics, Computer Science,
,2+ years of professional experience in Data Science, Data Analytics, Business Analytics, or related field working with Data,
,Experience in numerical programming with Python, R, SQL and related programming languages,
,Solid knowledge of applied statistics and machine learning,
,Strong communication and data presentation skills,
,Preferred Qualifications,
,Master’s or PhD in Statistics, Computer Science, Maths, or related fields,
,Prior experience in a tech company,
,Experience in data pipeline orchestration with Airflow, Spark, or related technologies,
,Strong ability to distill and translate ambiguous business questions into clearly defined problems that can be answered with data",Data Scientist,Jakarta
1 day ago,Agriaku,"Company Description,
AgriAku is a leading technology-based local agribusiness company in Indonesia. Launched late last year, AgriAku's mission is empower mitra through sustainable, inclusive and profitable technology business models.,
,
We are here to provide services for the needs of saprotan (sarana produksi pertanian) or agricultural production facilities that can be ordered through the application, anytime and anywhere with ease.,
,
,Job Description,
,
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.,
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.,
Assess the effectiveness and accuracy of new data sources and data gathering techniques.,
Develop custom data models and algorithms to apply to data sets.,
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.,
Develop company A/B testing framework and test model quality.,
Coordinate with different functional teams to implement models and monitor outcomes.,
Develop processes and tools to monitor and analyze model performance and data accuracy.,
,
,Qualifications,
,
Strong problem solving skills with an emphasis on product development.,
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.,
Experience working with and creating data architectures.,
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.,
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.,
Excellent written and verbal communication skills for coordinating across teams.,
A drive to learn and master new technologies and techniques.",Jr. Data Scientist,Jakarta
30+ days ago,FinAccel,"As a Data Scientist you’ll be part of a team that is working on cutting edge machine learning models. You will work side by side with Analysts and Machine Learning Engineers and take full ownership of your work – from the initial idea-generation phase to the implementation of the final product. Our ideal candidate is result-focused, innovative, has solid quantitative background and a good business understanding.
,
,We are looking for a Data Scientist who will be:,
Working in a multi-disciplined team where you’ll take full ownership of turning discoveries and ideas into machine learning models.
,
Prototyping diverse machine learning models, from credit scoring to recommendation engine.
,
Researching & Development on how to improve our models, by using our vast amount and unique set of data.
,
Actively contribute to taking Data Science at FinAccel to the next level.
,We are excited to welcome dynamic robust Data Scientist who have :
,
Minimum 2 years of relevant work experience.
,
Masters, PhD or equivalent experience in a quantitative field (i.e). Computer Science, Mathematics, Statistics, Econometrics, Engineering, Artificial Intelligence).
,
Capable to build robust end-to-end predictive models using the latest Machine Learning techniques and methodologies.
,
Proficiency in Python or R.
,
Exposure to RDBMS (i.e. MySQL, PostgreSQL) and No-SQL platforms (i.e. S3).
,
Excellent English communication skills.
,
,Bonus points (optional) for:,
Experience with alternate data to evaluate credit risk.
,
Experience in building end-to-end Deep Learning and/or NLP models.",Data Scientist,Jakarta
30 days ago,Talentvis,"Responsibilities / Introduction,
,Design, plan, develop and deploy machine learning models and advanced analytics solutions to solve a wide array of business problems.,
,Define problems and hypotheses, develop recommendations and decision support tools to solve business problems and increase business value.,
,Continuously improve the predictive value of our models, monitor model performance in production systems closely.,
,Influence product development, strategy and roadmap prioritization.,
,Tackle complex problems requiring a creative mindset to find innovative and elegant solutions.,
,Develop a culture of highly reproducible work, attention to detail, quality of work and getting solutions to production quickly.,
,Coach and help grow junior data scientist’s capabilities.,
,
,Requirement,
,Exceptional CAN-DO ATTITUDE and problem solving mindset,
,3+ years of experience of applied Data Science, Quantitative Analysis, Statistical Analysis or Modelling,
,Comfortable working with relational SQL databases,
,Fluency in Python and the core python data stack,
,Good understanding of CS fundamentals e.g. algorithms and data structures,
,Excellent communication skills (Bahasa Indonesia and English),
,You must be results-oriented and willing to work in a fast and dynamic environment,
,Bachelor or Master’s degree in Statistics, (Applied) Mathematics, Engineering, Computer Science, or similar advanced degree is preferred",Senior Data Scientist,Jakarta
30+ days ago,GO-JEK,"Location,
,Jakarta,
,Work Type,
,Permanent,
,Application Posted,
,July 27, 2021,
,About the Role,
Fasten your helmet and climb on board if you're ready to be our Senior Data Scientist. In this role, you'll be a key leader within the Customer Platform group, mining insights from the sea of data, building data products, and designing experiments with the ability to see the real-time impact of your contribution. A talented troop of business leads and fellow analysts will be your companions on this ride. In our humble opinion, the coolest part of this role is how your work will directly impact how the senior leaders at Gojek shape strategies around millions of customers across Southeast Asia.,
,
,What You Will Do,
,Build models (or ML models) that generate or lead to the answer to some of the most challenging questions we have,
Leverage NLP and data science to enable personalised experience.,
Automate your work,
Own Data science projects from inception to deployment via our own internal tools,
Partner with the business to deliver high impact. Find impactful problem and provide end to end solutions,
Be a technical leader in the consumer platform team, supporting other and enabling them to perform better,
,What You Will Need,
,At least 5 years of practical experience in Python, shell scripting, SQL Impact-driven and focused on driving key business metrics,
Prior experience with applied statistics, experimental design, machine learning and Git version control is a must,
Experience with experimenting on different modeling techniques (supervised and unsupervised learning) and develop data visualization for data stories,
You have experience bringing models to production and delivering models via API and CI/CD,
Able to recognize business needs and ability to communicate with multiple stakeholders including PMs, business and operations,
Able to work independently and collaboratively in an interdisciplinary team environment,
,About The Team,
The Consumer Platform group is spread out across Singapore, Bengaluru, and Jakarta. We provide scalable solutions for a wide range of products at Gojek, develop strategies that improve solution time for any user queries, and manage multiple features such as the homepage, identity, chat, communication and our CareTech services. We’re a family of 10 data folk who field analytical, decision science, and data science related issues for our consumers, and work to understand their behavior, trends, and preferences on our app.,
Currently, our team has been keeping busy not only building chatbot and NLP classifiers, but are also in the works to further personalize our app, providing more catered suggestions to our users through leveraging on data science and machine learning technologies. We’re also in the works of deploying our smart reply model for our driver-to-customer chat feature.,
While our team is based all over the region, we are mutually concerned about ensuring our users have an exceptional experience every time they utilize our app, and have any technical issue or query answered efficiently. When we aren’t busy working, you could probably find us bonding over our shared love of mobile games, and trying to keep ourselves healthy and happy as we prioritize a healthy work-life balance working from home.,
About the Team,
The Consumer Platform group is spread out across Singapore, Bengaluru, and Jakarta. We provide scalable solutions for a wide range of products at Gojek, develop strategies that improve solution time for any user queries, and manage multiple features such as the homepage, identity, chat, communication and our CareTech services. We’re a family of 10 data folk who field analytical, decision science, and data science related issues for our consumers, and work to understand their behavior, trends, and preferences on our app.
,Currently, our team has been keeping busy not only building chatbot and NLP classifiers, but are also in the works to further personalize our app, providing more catered suggestions to our users through leveraging on data science and machine learning technologies. We’re also in the works of deploying our smart reply model for our driver-to-customer chat feature.,
While our team is based all over the region, we are mutually concerned about ensuring our users have an exceptional experience every time they utilize our app, and have any technical issue or query answered efficiently. When we aren’t busy working, you could probably find us bonding over our shared love of mobile games, and trying to keep ourselves healthy and happy as we prioritize a healthy work-life balance working from home.",Senior Data Scientist - Consumer platform,Jakarta
30+ days ago,GO-JEK,"Location,
,Jakarta,
,Work Type,
,Permanent,
,Application Posted,
,June 18, 2021,
,About the Role,
Fasten your helmet and climb aboard if you’re ready to be our Junior Data Scientist. In this role, you will be an integral player within the GoFinance Data Science team based in Indonesia. You’ll take the wheel in overseeing all data aspects for the platform, building, evaluating, and monitoring consumer risk models for a variety of financial products. The folks in the Engineering and Project Management teams will be your companions on this ride, as they’ll help bring your models to production. Most importantly, your efforts will work to bring wider financial inclusion to more people in the region and beyond.,
,
,What You Will Do,
,Build, evaluate, and monitor consumer risk models for a variety of financial products,
Experiment with state-of-the-art technologies in machine learning,
Process, cleanse, and verify the integrity of data used for analysis,
Select features and build and optimize classifiers,
Perform data analysis and present insights to various business stakeholders Extend company’s data with third-party information,
,What You Will Need,
,At least 1 year of experience in performing analytics using structured and unstructured data,
Familiarity with SQL and Python, with strong dashboarding/visualization skills,
Excellent command in statistics and machine learning,
Ability to independently execute deep dives into data sources, present results, and propose recommendations in a clear and concise manner,
Experience working with big data and complex data structures,
Excellent spoken and written skills in English in order to communicate with stakeholders of various backgrounds, and with our international teams,
,About the Team
,Our GoFinance Data Science team is a group of eight Data Scientists based in Singapore and Indonesia. We build models to predict adoption, churn, credit scores, and pricing on loan applications for our users. We oversee all data aspects of our financial services at Gojek, working to support business expansion across various sectors, and most importantly, to bring wider financial inclusion to as many people in the region as possible.,
One of the biggest obstacles our team has had to overcome was modeling the creditworthiness of thin file users. After many weeks of research, collaboration, and trial and error, we figured out that the best way to tackle this issue was to utilize alternative data, such as in-app behavior and geolocation data. Currently, our team has been busy working on the expansion to e-commerce users, enriching our product family and user base.,
While our team is based all over the region, we’re a tight-knit group who are bonded by two things: the digital transform to help the unbanked, and alignment with personal development in technologies. Our weekly conversations range from market campaign optimizations to state-of-the-art engineering stacks. Off hours, you’d probably find us having fun in board-games. Working from home has been a strange time for a lot of us, so our team has been taking time on our calls to trade advice on the best ways to keep sane with this new work set up. We’re made up of game enthusiasts, sports lovers, and comic fanatics. Once COVID subsides, we’re excited to get together for our weekly dinner and drinks again!",Junior Data Scientist,Jakarta
5 days ago,Michael Page,"Work with global based team,
,Build SaaS for large companies/clients,
,About Our Client,
,SaaS platform that helps provide financial technology services in a global market. Series C-D.,
,
,Job Description,
,Work on risk model development and solutions for global based products, including but not limited to multi-finance, credit-card, SME, consumer lending, etc.,
,
,Focused on the development and best practices of risk management, anti fraud, credit scoring or credit risk engine.,
,Analyse and conduct feature engineering for massive data such as credit-report, e-commerce, and deploy the feature pipeline.,
,
,Evaluate third-party data for credit modelling usage.
,
,Research model methodology and data mining techniques to enhance and improve model performance.,
,
,Continuously explore the value of data for credit modelling and data product.,
,
,The Successful Applicant,
,3-6 years of relevant experience in developing risk model and working with credit risk management
,
,Solid hands on experience in ML models such as boosting trees, regression models,
,
,Advanced skills in Python (and its libraries) and SQL
,
,Experience in data analysis and feature engineering
,
,Excellent/fluent communication skills in English,
,
,
,
,What's on Offer,
,Join a global based team setup,
,Build a high performing SaaS for large corporations (clients),
,Competitive benefits and work flexibility,
,Contact,
,Josephine Wiliputri,
,Quote job ref,
,4220646,
,Phone number,
,+62 21 2958 8871",Senior Data Scientist - Risk,Jakarta
30+ days ago,GO-JEK,"About the Role,
As our Data Scientist for the Merchant Platform team, you will be handed the reins in driving asymmetric values for Gojek. Along with utilizing various quantitative techniques (e.g. machine learning, optimization), you will work closely with the product managers, engineers, and business users to deliver scalable data science solutions to increase the overall growth and efficiency of our Merchant-partner's Food-Payment-Ads business. The cherry on top: you’ll get to influence the variety of foods our hungry customers gets to choose from on GoFood,
What Will You Do,
Design and develop various machine learning solutions to improve merchants/users experience, to enhance the efficiency of business processes, and to boost the overall Gojek merchants’ growth,
Take ownership of the end-to-end data science solutions - from framing the business problem as data science problem to building and deploying the models into production,
Along with product managers and business users, own the business outcomes or metrics that the data science solution drives,
Be the thought partner for product team to add new features or operations flows that can boost the data science model performance in general (e.g. design the feedback-loop or human-in-the-loop process to continuously improve the model performance over time),
,What You Will Need,
At least 3 years of experience as a Data Scientist and have at least a Bachelor's degree in a quantitative field (i.e. Mathematics, Statistics, Computer Science, Machine learning ),
Hands-on knowledge in common data science stacks (Python+DS libraries, SQL, H2O),
Experience working in cloud-based solutions like GCP, AWS,
Experience with TensorFlow outside of an academic setting, or other machine learning libraries such as Scikit-Learn, XGBoost,
Experience to formulate data science solutions to business problems,
Ability to communicate with the business and understand business needs,
Good knowledge of good software design fundamentals and TDD (test-driven development),
Experience in building end-to-end data science solutions in the area of Natural Language Processing,
,About the Team,
The Merchant Platform team is a big group of over 50 team members based across Singapore and Indonesia. The gist of our role is to create an ecosystem of solutions to support our merchant-partners on the Gojek platform better manage and grow their business, while enabling both internal and external product stakeholders to develop merchant-based solutions in a sustainable manner.,
Our merchant-partners are one of the core stakeholders in our Gojek ecosystem; they’re involved in various offerings such as food delivery, offline payment acceptance, POS, financial services, deals, and promotions. As the Merchant Platform team, we work closely with our merchant-partners to understand their daily needs and concerns, and relay these insights to our internal product stakeholders to build platforms and interfaces on our mobile apps that ensure our merchant-partners’ success on the Gojek platform. Should you have a question about how to run processes in the development of merchant-partner products, we are your people! Currently, our team has been specifically hard at work tackling issues within the engineering arena to enhance the experience our merchant-partners have utilizing our platform and services. We aim to establish Gojek as the most trusted partner for all our merchant-partners.,
We’re a tight-knit, high-functioning team who genuinely love what we do, as we can see the results of our efforts play out in our merchant-partners’ everyday lives. When we aren’t working, you’d probably find us with our nose in books, or our eyes glued to the TV screen watching the latest Netflix drama. We’re equally concerned with each others’ personal and professional developments and work together to get our job done well.,
About Us,
Gojek is a Super App. It’s one app for ordering food, commuting, digital payments, shopping, hyper-local delivery, and dozen other products. It is Indonesia’s first and only decacorn. It's also the only Southeast Asian startup to be part of Fortune's list of 'Companies That Changed The World.',
Our Mission:, To create and scale positive socio-economic impact for our customers, driver-partners, business and MSMEs.,
As of 2018, Gojek processed more than $9 billion annualised gross transaction value across all markets where it operates - in Singapore, Thailand, Vietnam and Indonesia. We have the largest food delivery product in Asia, (outside of China), and the largest payments wallet in Southeast Asia.,
Our investors include Google, Facebook, PayPal, Sequoia Capital, Tencent Holdings among others.,
Gojek is committed to building a diverse and inclusive workplace and is an equal opportunity employer. We do not discriminate on the basis of race, religion, national origin, gender, gender identity, sexual orientation, disability, age, education status, or any other legally protected status.",Data Scientist - Merchant Platform,Jakarta
30+ days ago,Michael Page,"Work with one of the highest performing startup,
,High variety of use cases with latest technologies,
,About Our Client,
,Our client is a leading Fintech startup with high social vision to help the underserved. They have made it possible for individuals nationwide to have accessibility to financial products.,
,
,Job Description,
,Gather, manage and scrub data collected from various analytic platforms and sources, write own SQL queries and build quantitative analysis.,
,Define problems and hypotheses, develop recommendations, and analyze large amounts of data to discover insights for solving the problems, leading to better business performance.,
,Collaborate with fellow Data Scientists, Data Engineers and other Business Units to design and deploy data drive solutions with high business value.,
,Implement continuous improvement to predictive accuracy of models, monitor its performance in production systems.,
,Apply best practices in data-driven decision processes through statistical theorems.,
,The Successful Applicant,
,Min. 3 years of experience in data science, machine learning engineering, modelling, statistics and quantitative analysis.,
,Excellent understanding of machine learning algorithms in Python libraries and not limited to Scikitlearn, Pandas, Keras, Xgboost, Catboost, Tensorflow.,
,Proficiency in relational SQL databases,
,Great understanding of linear algebra, multivariate calculus and applied statistics skills, such as distributions, statistical testing, regression, etc.,
,Solid analytical and problem solving skills, with high curiosity and growth mindset,
,Preferably Bachelor or Master's degree in mathematics, computer science, statistics, engineering or similar advanced degree,
,What's on Offer,
,Highly competitive benefits,
,Work in one of the highest performing startup,
,High variety of use cases with latest technology,
,Contact,
,Josephine Wiliputri,
,Quote job ref,
,4177755,
,Phone number,
,+62 21 2958 8871",Senior Data Scientist (Machine Learning),Jakarta
30+ days ago,Michael Page,"Work in the highest performing Telco company,
,High variety of use cases in analytics,
,About Our Client,
,Big three telecommunications provider company in Indonesia,
,
,Job Description,
,Execute predictive data modelling and analytics to support CVM planning and decision making. Develop behavioural models from concept to deployment and revenue realisation.,
,Define direct input to CVM operations team for adaptive models and direct changes to decision frameworks for inbound marketing and retention activity.,
,Have ownership on models: communicate operational issues to stakeholders, address in timely manner, perform regular reviews, evaluation, re-score models appropriately, and make recommendations to capability manager.,
,Define analytical data set required for business problem solving. Develop segmentation of data and predictive models derived from customer related data in order to support commercial decision making.,
,Evaluate CLM data management, develop database, data dictionary and data map which contains relevant information for initiatives.,
,The Successful Applicant,
,Minimum 5 years of relevant experience in data science, modelling and statistics (preferably in commerce, marketing analytics, customer value management and product sales).,
,Minimum Bachelor's Degree in mathematics, computer science, statistics, engineering or similar advanced degree.,
,3+ years of experience in Telco CVM Analytics is preferred.,
,Proven thought leader in model development, commercial results driven and strong business acumen.,
,Highly skilled in Tableu, SAS, SPSS Modeller or similar.
,What's on Offer,
,Competitive benefits,
,Work in the highest performing Telco company,
,High variety of use cases in analytics and business,
,Contact,
,Josephine Wiliputri,
,Quote job ref,
,4165524,
,Phone number,
,+62 21 2958 8871",Sr. Data Scientist / Marketing Analytics - Telco,Jakarta
