available_since,company,job_description,job_title,location
11 days ago,LingoAce,"About LingoAce,
Founded in 2016, Singapore-based LingoAce is the leading Chinese language platform, offering an immersive language learning experience to young learners aged 4 to 15 years old globally. The platform harnesses the capabilities of passionate native Chinese-speaking teachers along with research-backed digital content, featuring animation, gamification and AI, to effectively deliver its globally accredited Chinese syllabi through small group and one-on-one live classes. LingoAce’s in-house team of global curriculum specialists – with multi-disciplinary expertise in Chinese language learning, K-12 education, and child psychology – designs and delivers authentic, engaging online language learning tailored to meet the needs of every learner, across a range of language proficiency levels and diverse cultural backgrounds.,
,
To date, the company has provided live online classes to over 300,000 registered learners across 80 countries, helping them gain access to an effective, immersive language learning experience that cannot be achieved through traditional learning methods.,
,
With regional offices in the US, Southeast Asia and China, the firm currently has a team of over 1,000 employees - including its own in-house curriculum specialists and creative designers – and more than 2,500 certified teachers.,
,
LingoAce raised a Series B funding round in early 2021. This financing follows its US$13 million Series A, led by Sequoia Capital and Shunwei Capital in 2020. More information can be found at www.lingoace.com.,
Responsibilities:,
,Create reproducible analytics module for company’s key metrics,
,Design and build automated analytic tasks for high-frequency reporting needs,
,Produce technical documentation of key metrics for knowledge-transfer purposes,
,Act as an administrator to Indonesia Team’s databases and data repository
,Requirements,
,IT Education Background is preferable,
,Minimal 1 (one) year experience working in a Data Team (as analyst or engineer),
,Able to crunch data using either R or Python
,Have a working knowledge of REST API and ETL operation
,Proficiency of JavaScript will be a plus point
,Background experience on using Tableau and Tableau Prep Builder is a plus point",Data Engineer,Jakarta
11 days ago,ZALORA SEA,"In this role, the Data Engineer at ZALORA will be a part of the Data Sciences Innovation Lab.,
This team serves as the gatekeepers and curators of the BIG data collected into the Data,
Warehouse/Data Lake from all aspects of our fashion e-commerce business and support,
data-driven decision-making. He/she will conduct complex data analysis, continuously evolve,
management reporting, and deliver business insights in an environment of rapid growth and,
increasing complexity.,
Responsibilities:,
Drive the full lifecycle of Data Science projects: from gathering and understanding the end-user needs to implement a fully automated solution.,
Develop and provision of Data pipelines to enable self-service reports and dashboards.,
Deploy Analytics techniques to answer the appropriate business problems using SQL, R or Python.,
Visualize data using Tableau and create repeatable visual analysis for end users to use as tools.,
Take ownership of the existing BI platforms and maintain the data integrity and accuracy of the numbers and data sources.,
Know Agile - Scrum project management experience/knowledge - Ability to prioritise, pushback and effectively manage a data product and sprint backlog.,
Requirements:,
4+ years of experience in building out scalable and reliable ETL/ELT pipelines and processes to ingest data from a variety of data sources, preferably in the eCommerce retail industry.,
Deep understanding of Relational Database Management Systems (RDBMS) (e.g. PostgreSQL, MySQL), No-SQL Databases (e.g. MongoDB, ElasticSearch) and hands-on experience in implementation and performance tuning of MPP databases (e.g. Redshift, BigQuery).,
Experience with Tableau, Power BI, Superset or any standard data visualization tools.,
Strong proficiency in writing production-quality code in SQL, shell and/or R/Python, engineering experience with machine learning projects like Time Series Forecasting,,
Classification and Optimization problems would be a huge advantage,
Experience administering and deploying CI/CD tools (e.g. Git, Jira, Jenkins),
Industrialization (e.g. Ansible, Terraform), Workflow Management ( e.g. Airflow, Jenkins, Luigi) in Linux operating system environments.,
Exhibits sound business judgment, a proven ability to influence others, strong analytical,
skills, and a proven track record of taking ownership, leading data-driven analyses, and,
influencing results.,
Knowledge of cloud services like AWS, GCP, Azure would be a huge added advantage.,
E-commerce / operations / fashion retail / warehouse and logistics background would be,
a bonus.,
The ZALORA Story,
ZALORA is Asia’s leading online fashion, beauty and lifestyle destination, part of Global Fashion Group. As one of the region’s pioneer large-scale ecommerce platforms, ZALORA has established a strong presence throughout the region, particularly in Singapore, Indonesia, Malaysia, Brunei, the Philippines, Hong Kong, and in Taiwan, enjoying over 50 million visits per month.,
ZALORA is not obligated to accept resumes from any third parties on behalf of potential candidates for any position (advertised or otherwise) by any means, unless ZALORA has executed a written agreement with such third party and has expressly requested such third party for candidate referrals. Third parties who provide unsolicited resumes of candidate(s) shall waive and forfeit all rights to claim for any placement fees or referral fees in the event that such candidate is eventually engaged or employed by ZALORA or Global Fashion Group.,
,R4jJUohwM0","Data Engineer, Commercial & Operation Team",Indonesia
30+ days ago,NTT Ltd,"In a constantly changing world, we work together with our people, clients and communities to enable them to fulfill their potential to do great things. We believe that by bringing everyone together, we can solve problems using innovative technology that can create a world that is sustainable and secure. At NTT, we encourage you to remain continuously curious, as that is what keeps you fast, flexible and relevant. No two days will be the same but that is what will help you grow and realize your full potential.,
The power is in your hands to do great things. It’s time to lead the change, be the authentic you, to solve difficult challenges, to set the pace of change and to unleash your potential.,
Want to be a part of our team?,
(No Radford job or level selected),
Working at NTT,
What will make you a good fit for the role?,
Join our growing global team and accelerate your career with us. Apply today.,
Equal opportunity employer
,NTT is proud to be an equal opportunity employer with a global culture that embraces diversity. We are committed to providing an environment free of unfair discrimination and harassment. We do not discriminate based on age, race, color, sex, religion, national origin, disability, pregnancy, marital status, sexual orientation, gender reassignment, veteran status, or other protected category.",Senior Associate Data Engineer,Jakarta
30+ days ago,BeritaSatu Media Holdings,"Responsibilities:
,Create a database for data from a wide ranging of sectors, including but not limited to digital infrastructure, healthcare, education, socio-politics financial markets and economics, to be used for researcher and reporters across digital, television and print platforms in BeritaSatuMedia Holding.,
,Collect and store data from various sources then process and manage it to keep them updated.,
,Design and programming script to help information designer to automate data visualization process.,
,Scrape data from various website.,
,
,Requirements :,
,A bachelor’s degree in mathematics, statistics, computer science, or a business-related field is helpful—but not required.,
,Demonstrate deep understanding of database architecture, queries, and how to build data pipelines.,
,Proven data & programming skills. Either a 2+ year professional experience.,
,Proficiency with Google Script, Xpath, Phyton, or R, MySQL.,
,Understand visual communication design,
,Keep up with current and upcoming data engineering trend,
,Strong collaboration and communication skills,
,Fluent in English,
,Proficiency in spreadsheet (Excel or Google Sheets),
,
,Send your Current Photograph & CV,
,Publisher: ,BeritaSatu Media Holdings,
,Send us your application with comprehensive resume using format of .DOC or .PDF along with the latest photograph to recruitments@beritasatumedia.com",Data Engineer,Jakarta
30+ days ago,QSI Recruitment,"27 July 21,
,Location: Jakarta,
,Requirements,
,Bachelor degree majoring in Computer Science, Information Technology or equivalent,
,Having seven year experiences in data, software engineering and data warehouse development,
,Having skills in cloud data warehouse, data processing, cloud infrastructure, etc,
,Having experience in Apache Airflow, Pandas, RDBMS, Debezium, and BigQuery, Redshift is a plus,
,Having skills in Python, experience in Java and Go is a plus",Data Warehouse Engineer,Jakarta
30+ days ago,QSI Recruitment,"22 October 18,
,Location: Jakarta,
,Requirements,
,Minimum bachelor degree in Computer Science, Computer Engineering, or any related engineering field,
,Minimum 3 years of working experiences a Data Engineer,
,Familiar with Python, R, Scala, C, C++, Java, Golang,
,Has an experienced in data processing, database technologies and big data developments,
,Creative, proactive, good analytical thinking",Data Engineer,Jakarta
30+ days ago,GO-JEK,"Location,
,Jakarta,
,Work Type,
,Permanent,
,Application Posted,
,May 27, 2021,
,About the Role,
,
,As our Senior Data Engineer, you’ll be an instrumental cog in the Finance IT Business Partner (ITBP) wheel of Gojek that directly supports the Finance, Accounting, and Tax (FAT) team in automating various processes and providing data required for finance reporting. You’ll focus a bulk of your time on developing and maintaining data automation for financial processes. The Data Warehouse, respective back-end and product, and ITBP finance support teams will be your companions on this ride. You’ll have ample opportunity to flex your SQL and Python programming skills, streamlining and automating various financial operations for the wider team to utilize.,
,
,What You Will Do,
,Gather requirements from users, analyze these findings and provide recommendations for more enhanced solutions and data requirements,
Identify, analyze, and interpret patterns in complex data sets to investigate issues, find root causes, and propose solutions,
Develop automation to export/send data to users on a regular basis,
Develop and implement databases, data collection systems, data analytics, dashboards, and other technical strategies to optimize reporting efficiency and quality,
Support the FAT team by providing data they need,
,What You Will Need,
,At least 4 years of work experience as a BI Analyst or Data Analyst,
Strong knowledge of DBMS (e.g. Postgre, MySQL, SQL Server, etc), programming (e.g. Python, Java, C#, Ruby, etc), and ETL frameworks (e.g. Airflow, Pentaho, Talend, etc),
A Bachelor’s degree with a major in Computer Science, Informatics, Engineering, or Mathematics,
Strong analytical skills with the ability to collect, organize, analyze, and present information with attention to detail and accuracy,
Good communication skills in Bahasa and English, written and spoken, in order to collaborate with our local and international teams,
Inquisitive, self-motivated, resourceful, dedicated, and capable to work under minimum supervision,
Ability to work at a quick pace and willing to work extra hours if required (things come unexpectedly, so we’re always prepared!),
Exposure working in finance and accounting processes is a plus,
,About the Team,
Our Finance ITBP is a team of 16 people based in Indonesia. Our roles range from carrying out project implementations to supporting users globally. We’re the team that oversees all internal enterprise systems that are maintained and implemented by the CIO’s team, and work together to govern, troubleshoot, and improve them. It’s our job to ensure that Gojek Enterprise applications run seamlessly. We're a highly dynamic team, so our emphasis on learning and working on new things (i.e. going the extra mile) is our key to success.,
,
One of the biggest obstacles our team has had to overcome was how to deliver technical support at a much quicker and accurate rate, especially with how quickly Gojek has been scaling. After many weeks of research, collaboration, and trial and error, we figured out that the best way to tackle this issue was to implement tried-and-tested methodologies such as Agile and SAP Activate to boost our solution delivery performance. Currently, we've been busy working on a project surrounding SAP Rollout and Integration, whose goal is to enable automation for seamless business flow.,
,
We are a tight-knit group that is bonded by two things: supporting Gojek's capability as a global company, and supporting each other as a family . For real - our weekly conversations range from the latest automation breakthroughs to sharing our favorite ways to stay healthy and happy as we get through this pandemic together. We don't mind working extra hours if need be (sometimes, things come unexpectedly) because we're encouraged by seeing our efforts come to fruition and benefit our users around the globe.",Senior Data Engineer (Finance),Jakarta
30+ days ago,Alter Global,"About Shipper:,
Shipper is a logistic aggregator platform, solving problems for merchants, customers, and third party logistics. We provide also first mail delivery services. We are a growing start-up. We work hard and fast. Responsibility with access to help from all team members is definitely there. We are looking for your awesomeness and your creativity. We trust the work to you and when you have problem, you can ask for help. When you don't know what you are doing, we will guide you on how things could possibly be done. Saying ""no"" to a logic could be a great thing when it's supported by facts. We support open policy and we are happy to talk about anything. We mean anything and we mean it.
,
,Responsibilities:,
,
,Design and develop regular reports and actionable dashboards to track business performance,
,Responsible for advanced data analytics and statistical modeling to extract insights from data that results in better logistics services,
,Use the quantitative skill sets to drive product roadmap and development,
,Evaluate data management in Shipper Logistics organization,
,Filter, clean and continuously manage data by reviewing data sources across different tools and systems,
,Acquire data from primary or secondary data sources and maintain databases,
,Own and manage multiple data initiatives and projects both on an ongoing and ad-hoc basis,
,
,Requirements:,
,
,Bachelor degree in Computer Science, Business Analytics or related quantitative fields (Mathematics, Economics, Computer Science, Information Management or Statistics).,
,Ability to write complex SQL queries and preferably experience with MySQL, PostgreSQL, MongoDB and data visualization tools (Chartio, Tableau, etc).,
,Proficiency in one or more programming languages including but not limited to Python, R,
,Strong communication and presentation skills,
,Experience with ETL process is a plus,
,Experience with AWS ecosystem is a plus,
,3-5 years of experience in an analytical role,
,Detail oriented, analytical and inquisitive,
,Language: Fluent in verbal and written in English & Indonesian,
,
",Data Engineer at Shipper,Jakarta
30+ days ago,QSI Recruitment,"20 November 17,
,Location: Jakarta,
,Requirements,
,Bachelor Degree majoring in IT / Computer Science / related,
,Has 5 – 7 years of experience in data and API development,
,Pipeline design and implementation with large distributed databases,
,Experience in collecting, analyzing and synthesizing results from various data sources,
,Excellent communication in English (Both verbal and written)",Data Engineer Manager,Jakarta
30+ days ago,GO-JEK,"Location,
,Jakarta,
,Work Type,
,Permanent,
,Application Posted,
,June 18, 2021,
,About the Role,
As our Data Engineer, you’ll be a crucial member of the Financial Services Platform at Gojek. In this role, you’ll take the wheel in building and scaling our Data Warehouse foundation that enables and delivers reliable and trustworthy data that affects our internal users, driver-partners, and merchant-partners alike. You’ll design, develop, and maintain the services for our data ingestion pipeline, ensuring the data is understandable, usable, and adheres to data governance policies. The folks in the Engineering, Business, Operations, and Data Science teams will be your companions on this ride; they’ll provide the data you’ll utilize in your daily tasks, while you act as a bridge between them and third parties.,
,
,What You Will Do,
,Create data ingestion from various sources: RDBMS, Rest API, Kafka, Text File and Spreadsheet,
Design, develop, and maintain the services for the data ingestion pipeline; debug any data issues that may arise,
Deploy the data pipeline following data governance and data security requirements, and implement it with the data quality check on Google Cloud Platform,
Provide expert advice on data infrastructure, data architecture, and data modelling to your teammates,
Manage the auto-scaling and performance monitoring of the Infrastructure using Prometheus, Grafana, or similar tools,
Liaise with other Data teams within the Financial Services platform and GoTo company - such as the Data Science, Data Engineering, Data Governance, and Risk Analytics teams - to ensure that initiatives are aligned and data integrity standards are adhered to,
Drive the prioritization, strategy, and focus to solve user problems,
,What You Will Need,
,At least 3 years of experience in data engineering, BI engineering, and data warehouse development,
Excellent command in programming languages, preferably in Python and Bash; knowledge of Java and Go is a plus,
Experience in managing a server-less data warehouse like BigQuery or Redshift,
Prior DevOps experience implementing large scale data stacks using any CI/CD tool and Docker,
Familiarity with schedulers like Airflow,
Experience in Kafka, Flink, and Spark is a plus,
Excellent spoken and written skills in English in order to communicate with stakeholders of various backgrounds, and with our international teams,
,About the Team,
Financial services platform is Gojek’s financial services arm, working to provide responsible & sustainable financial services to Gojek's three main segments: consumers, merchant-partners, and driver-partners. Our team operates with the fundamental belief that financial inclusion can unlock the doors to a better quality life, both in the present as well as in the long term. With our ""user first"" mindset, we aim to transform the financial services sector in Southeast Asia, starting with Indonesia.,
Our Data team, a financial data services sub-pod, is an established family with members stationed across Jakarta, India, and Singapore. We’re in charge of running hundreds of instances and deployments across all of our payment products, directly impacting millions of users every single day. Most recently, our team has built products that reduce the overall time to model, curate, and access data, streamlining our efficiency and internal processes significantly. In the coming year, in light of our new GoTo collaboration, we have exciting plans to scale up our team in efforts to field the massive growth of our data pool.,
Combating remote work has brought us even closer, with frequent catch-ups over tea and sharing ways we have been keeping ourselves sane. Along with our desire to utilize smart technology and innovative engineering strategies to make people’s lives easier, our team also bonds over our shared love for reading, gaming, and drinking lots of coffee. We work hard and play hard, and believe it or not, we actually enjoy each other’s company!",Data Engineer - Financial Services Platform,Jakarta
