available_since,company,job_description,job_title,location
30+ days ago,KMK Online,"RESPONSIBILITIES:,
,Working closely with Data Engineer to maintain the data quality, continuously improving our data and make sure we handle all issues that can possibly occur,
,Design trackers to ensure we’ll get all the data we need from tracking,
,Build data visualisation and dashboard for monitor key metrics,
,Do data exploration to give actionable insights for business and product improvements,
,Handle ad-hoc data request for product performance review and improvements,
,Perform data collection and learn about the data both from within our product and from 3rd party,
,
,REQUIREMENTS:,
,Have minimum 1 year experience in related field,
,Being passionate in data for OTT Platform,
,Familiar with one or more languages for querying data ( SQL, python, spark),
,Comfortable working with huge data sets and numbers (e.g. we have millions plays per day),
,Ability to convert number to insights,
,Have a good interpersonal and communication skill,
,Knowledge of ETL to support and contribute to database implementation and systems is a plus,
,Knowledge of Analytics tools is a plus (Google Analytics, Firebase, etc)",Data Analyst,Jakarta
30+ days ago,GO-JEK,"About the Role,
As our Data Analyst for the Commerce Enablement team, you’ll collaborate with other cross-functional teams (Product Managers, Business Strategists, Marketing, Research, and Data Science) to find useful business insights within a large amount of data. You’ll assist these teams in setting up success metrics for particular products/features, optimize existing services and systems, and ensure data quality and source of truth availability.,
,
,You’ll process data streams to produce data foundation, analytical dashboards, and product/feature trackers on a daily basis. Here, you'll get a front-row seat in understanding how one of the largest Asian SuperApps makes use of its data. Your efforts will help remove highly complex analytical blockers presented to the team and contribute to the overall expansion and efficiency of Gojek's Merchant platform.,
What You Will Do
,Own problem definition and defining them into analytical problems,
Provide a roadmap for the complex analytical problems and it's technical decision such as the library to use/ potential algorithm to use,
Showcase impact in a broader business context by providing detailed analysis and data visualization,
Understand stakeholder needs, respond professionally, and follow up to ensure satisfaction,
Proactive in developing tools/analysis, and improving business metrics to keep them relevant with the company’s growth,
Work closely with Product Managers and Business teams to help them create data-driven decisions,
,What You Will Need,
At least 4 years of experience in Business Intelligence, Analytics, or other related roles that require strong analytical skills, problem-solving, and business acumen (preferably from the payment/ fintech industry),
Experience in SQL and data visualization (e.g. Tableau and Metabase),
Have strong statistical knowledge and able to independently select and implement the correct statistical test to answer the business question,
Good R/Python skills to perform advanced analysis (hypothesis testing, predictive model, clustering, etc),
Solid understanding of machine learning modeling,
A self-driven attitude with a strong sense of ownership; ability to work independently to solve problems and develop solutions,
Ability to use critical thinking to manage daily tasks while being goal-oriented,
Ability to transform an ambiguous business or product problem into a well-scoped and impactful analysis,
,About the Team,
The Commerce Enablement team is a family of 120+ engineers based in Jakarta, Singapore, and India. We consistently strive to implement solutions that allow our merchant-partners in Indonesia (and the greater Southeast Asian region) to sell their products both online and offline. We also work to improve the merchant-partner experience by product innovation and integration with the rest of the Gojek ecosystem.,
,
Internally, we promote a culture of engineering excellence, learning, and guided career growth. We advocate sustainable engineering practices, innovation, and working smart more so than working hard. We aim to be a world-class organization, implementing world-class solutions, with world-class engineers leading the way.,
,
Our portfolio of products include merchant-facing solutions that enable our subscribed merchant-partners to sell their goods and services both online and offline. Southeast Asia is a highly dynamic market, where products have to react promptly to market trends and shifts, and where product managers and business leads need the flexibility to experiment and iterate fast. With that in mind, from an engineering perspective, our challenges are to evolve a general platform for e-commerce that is sufficiently versatile to support rapid product iterations across multiple products, as well as scaling up to an ever-growing user-base. To tackle these challenges, we have adopted event-driven architectural patterns in our engineering designs, as well as agile practices across all our day-to-day processes.,
,
This COVID era has been hard on all of us. Off-hours, we are doing our best to stay in touch and continue to bond through fun, playful online activities. Once COVID is over, we are looking forward to resuming our regular team-wide social activities such as dinner-and-drinks evenings and team off-sites.,
About Us,
Gojek is a Super App. It’s one app for ordering food, commuting, digital payments, shopping, hyper-local delivery, and dozen other products. It is Indonesia’s first and only decacorn. It's also the only Southeast Asian startup to be part of Fortune's list of 'Companies That Changed The World.',
Our Mission:, To create and scale positive socio-economic impact for our customers, driver-partners, business and MSMEs.,
As of 2018, Gojek processed more than $9 billion annualised gross transaction value across all markets where it operates - in Singapore, Thailand, Vietnam and Indonesia. We have the largest food delivery product in Asia, (outside of China), and the largest payments wallet in Southeast Asia.,
Our investors include Google, Facebook, PayPal, Sequoia Capital, Tencent Holdings among others.,
Gojek is committed to building a diverse and inclusive workplace and is an equal opportunity employer. We do not discriminate on the basis of race, religion, national origin, gender, gender identity, sexual orientation, disability, age, education status, or any other legally protected status.",Senior Data Analyst - Commerce Enablement,Jakarta
19 days ago,MatchaTalent,"About the Company:,
Our client is a highly scalable and data driven PayLater platform for the micro merchants to purchase high margin inventory from large consumer brands through system integration with FMCG’s agent app. Its mission is to aliviate poverty and empower women by enabling unbanked micro merchants purchase inventory without having to make upfront payments.,
We are hiring a Business Analyst to join our team and providing a useful analysis from multiple source of data. This person will not only work with the business team but also data/technology team to get better understanding about business and data.,
,
,Job Description:,
, Doing variances analysis from the dataset, Working together with business team to provide a useful analysis to help business making decision, Helping develop reports and analysis for internal and external parties, Providing dashboard and update it on weekly basis (anytime we have new dataset) for internal and external parties, Creating a standard guideline for reporting, Providing any solutions and recommendation to improve reporting process,
Requirements,Have a minimum 5 years of experience as Business Analyst or similar position,Experience working with senior decision makers,Strong communication/interpersonal skills,Proven strong analytical background,Advanced Excel skills,Understand the FMCG dataset is a plus,Have technical tools or software understanding like Looker is a plus,English speaking candidates preferred,
,
● Have a minimum 5 years of experience as Business Analyst or similar position ● Experience working with senior decision makers ● Strong communication/interpersonal skills ● Proven strong analytical background ● Advanced Excel skills ● Understand the FMCG dataset is a plus ● Have technical tools or software understanding like Looker is a plus ● English speaking candidates preferred",(FMCG Tech) Data Business Analyst,Jakarta
9 days ago,Migo,"Do you believe that everyone should have access to Entertainment and Education?,
,
For 90% of people living in emerging markets, the promise of high-speed internet is a pipe dream. They have limited cellular data budgets and no wireline internet. Their access to data is limited to the most basic functionality. They are not able to participate in the rich data experience of the 10% who has real-time access to virtually any service available at their fingertips.,
At Migo, we level the digital playing field for 3 billion consumers by bringing the best bits of the internet to the corner store. Our disruptive tech solution, created by Kindle tech inventor Barrett Comiskey, provides affordable access to Entertainment, Education, Financial Services, and other digital products and services.,
Backed by Temasek, blue chip VCs and key industry insiders, Migo delivers data 40 times cheaper than the best telco alternative. This allows us to deliver unlimited data consumption to mass market consumers at sachet (pre-paid, small denomination) price points.,
Job Overview,
Migo is looking for a Marketing Data Analyst who will join its growing Marketing Team in Indonesia. This person plays an important role in ensuring that we have a data-driven approach in evaluating our various projects and initiatives across offline channels.,
,Responsibilities,
Analyze the performances of offline and online marketing channels, events and initiatives,
Evaluate the results of various projects against defined KPIs and metrics,
Provide insights and help build recommendations on improvement areas,
Prepare data visualizations and reports that effectively communicate key findings,
Work with Marketing Team and cross-functions in identifying opportunities for growth and optimization,
,Qualifications,
At least 3 yrs’ experience in a data analyst role preferably from a marketing function,
Exhibits strong analytical skills coupled with proficiency in Microsoft Excel, Tableau and similar tools,
Organized, meticulous and has a bias for action,
Able to communicate ideas clearly, and has good English communication skills,
,Why join us?,
Simple: We bring joy and transformation not only to Emerging Markets but to ,you,, too.,
,
Being an Imagineer means breaking boundaries by imagining, designing, building, and developing innovation to transform lives. Here in Migo, we aren’t just employees. We are ,Leaders, Caring, Relentless, Innovators, Always Improving,, and we carry this in every action as we work together as ,one team, towards ,one goal.,
,
We change the world., Our passion for solving problems fuels us to continue challenging social norms and rebalancing accessibility for everyone. We dream big yet execute simply.,
,
We don’t fear failure., Rather, we take those as an opportunity to improve. We move as one borderless team and build ideas together. Your inputs are valued because all of us are innovators: we believe that our endless curiosity while learning from each other builds the next best thing.,
,
We unlock your full potential ,by being surrounded by a vast diversity of cultures and perspectives. You will be mentored by experts and fellow leaders through knowledge sharing and through fast and straightforward feedback. You will be empowered to grow as an individual and a professional to a whole new level – because as much as you got us, we got you too.,
,
We work hard & play hard!, We know how to take care of you by giving you time. Relax and celebrate with your fellow Imagineers during the company-wide happy hours and culture sharing events across the three offices. Relax with your friends and family by using your unlimited annual leaves. Treat your friends to a night out after your biannual compensation and performance reviews.,
,
We are Imagineers and together let’s transform the world and you.,
Follow us on:,
HP: www.migo.io,
FB: https://www.facebook.com/MigoIndo/,
IG: https://www.instagram.com/migoindonesia/,
LI:https://www.linkedin.com/company/migo",Offline Marketing Data Analyst,Jakarta
30+ days ago,QSI Recruitment,"08 June 16,
,Location: Jakarta,
,Requirements,
,Minimum Bachelor Degree in any major of Engineering, Mathematics or IT.,
,Minimum 3 years experiences and ability in using social and online research tool.,
,Good skills in using SQL, MongoDB and familiar with Google’s Sprint methodology.,
,Able to communicate in English.",Senior Data Analyst,Jakarta
30+ days ago,PERSOLKELLY Indonesia,"Persyaratan
,
,Min. Bachelor’s degree in any major.,
,Min. 2 year working experience.,
,Understand and able to speak English.,
,Good in operating Microsoft excel (data analysis),
,Discipline, proactive, independent, collaborative and willing to learn.,
,Strong in numbers and logical reasoning is preferred.,
,
Tanggung Jawab
,
,Work with complex data sets to help businesses determine and set competitive prices to gain market share and achieve C3 goals. This will require pricing analyst to consider data from multiple sources and develop the right model based on the everchanging situation.,
,Determine the ideal target price for lubricant products of both B2B and B2C businesses by closely collaborating with Sales and Marketing team to develop and enact pricing levels and/or strategies.,
,Liaise with LSC to be able to give E2E numbers and transparencies to the commercial team on the supply perspective.,
,Provide in-depth analysis with strong reasoning based on data on why certain pricing levels/models are enabled and be able to present the findings in quantitative manner.,
,Monitor industry trends on national and international level, including the Base Oil, CPI (IHK), Forex and other complexities.,
,Support for monthly SKU maintenance, including maintain SNI, NPT database, and volume Quarterly reporting,
,
,Disclaimer:, melamar pekerjaan di Karir.com tidak dipungut biaya",Pricing & Data Analyst,Jakarta
30+ days ago,GO-JEK,"Location,
,Jakarta,
,Work Type,
,Permanent,
,Application Posted,
,May 5, 2021,
,About the Role,
As our Data Analyst for the Consumer Platform, you'll dive deep into some of the most challenging analytical problems for the platform that powers Gojek's SuperApp. You’ll focus your efforts on supporting the analytics and data products (automated dashboards, reports, alerts, and simulation tools) which aim to create business impact at scale. Specifically, you’ll conduct general analysis on each new feature/product, dive deep into understanding user behavior insights to make sound business decisions, and provide data visualizations to track Consumer Platform's overall performances. Your efforts will aid Consumer Platform at a level of detail that enables our stakeholders to identify and address critical issues and align deliverables according to the team’s priorities and requirements.,
,
,What You Will Do,
,Deliver insight and analysis using statistical tools, data visualization, and business use cases with the Product and Business teams,
Conduct analysis to determine new project pilot settings, new features, user behavior, and in-app behavior,
Build & maintain dashboards for tracking business performance and product adoption,
Assist Product Managers and Business teams in creating data-backed decisions,
Collaborate with Consumer Platform's Product and Business teams in identifying new avenues for growth and opportunities, and back their product delivery with experimentation,
Build first cut Machine Learning models based on product requirements,
Automate data extraction by creating de-normalized tables,
,What You Will Need,
,At least 4 years of work experience dealing with product analytics, data, and statistics,
Expertise in SQL with experience using data visualization and dashboarding tools (e.g. Tableau, Metabase, Google Data Studio, Clevertap, Python),
Experience in Machine Learning technologies (i.e. forecasting, clustering, statistical significance test, predictive modeling, and text mining),
Experience in delivering products as end-to-end data solutions (from data pipelining to analysis, presenting, and scalable adaption),
A strong business sense with the ability to transform ambiguous business and product issues into well-scoped, impactful analysis,
Strong ability to design and conduct simple experiments,
A goal-oriented, critical-thinking mindset with the ability to work equally well within a team and independently with minimal supervision,
,About the Team,
The Consumer Platform group is spread out across Singapore, Bengaluru, and Jakarta. We provide scalable solutions for a wide range of products at Gojek, develop strategies that improve solution time for any user queries, and manage multiple features such as the homepage, identity, chat, communication and our CareTech services. We’re a family of 10 data folk who field analytical, decision science, and data science related issues for our consumers, and work to understand their behavior, trends, and preferences on our app. Currently, our team has been keeping busy not only building chatbot and NLP classifiers, but are also in the works to further personalize our app, providing more catered suggestions to our users through leveraging on data science and machine learning technologies.,
While our team is based all over the region, we are mutually concerned about ensuring our users have an exceptional experience every time they utilize our app, and have any technical issue or query answered efficiently. When we aren’t busy working, you could probably find us bonding over our shared love of mobile games, and trying to keep ourselves healthy and happy as we prioritize a healthy work-life balance working from home.",Data Analyst - Consumer Experience,Jakarta
30+ days ago,Funding Societies,"The Funding Societies | Modalku Data team is seeking a passionate Data Analyst (Quality/Governance) that has a passion and depth in data governance, data operational efficiency, and effective management of data environments – platforms and tools. Working in a regional team across India and South East Asia, the Data Quality Analyst will monitor performance and quality control plans to identify any issues or ways to improve systems and database designs. This role is best suited for those who enjoy working with numbers and data sets, have an aptitude for computer systems and software, and have strong analytical abilities.,
Responsibilities and Duties,
Review, analyze, and ensure data quality initiative - in the areas of data sourcing, data cleansing, data migration, master data management, data governance and quality and data definition.,
Improve the QA process by automating the tasks and refining the procedure.,
Analyse reference data needs of various user areas, suggest solutions and build as necessary.,
Analyse the data from various sources, identify patterns, structures and data life-cycle.,
Implements processes and systems to monitor data quality, build reports/dashboards to ensure data is always accurate and available for key stakeholders and business processes that depend on it.,
Coordinate with teams to design standards for present and prospective applications and databases.,
Continuously identify data quality and production issues and solve them in collaboration with the Data Engineering/Data Analytics/Technology Team.,
Develop and implement test plans and scripts for various data quality processes.,
Maintain manual and automated test scripts and recommend modification as per requirements.,
Maintain effective coordination frameworks with technology teams for production systems.,
Qualifications / Requirements,
Bachelor's or master’s degree in technical or business discipline or related experience; Master's Degree preferred.,
3-7 years of experience in Data Quality/Data Governance functions.,
Candidate should have hands-on experience in a majority of the below areas:,
Business Glossaries & Data Dictionaries, Data Quality analysis & reporting, Metadata Management, Reference Data Management, Data Lineage & Traceability.,
Strong team player with good communication skills and able to work with multiple stakeholders including senior managers.,
Strong problem-solving skills and an ability to prioritise and manage multiple tasks.,
Knowledgeable in RDBMS with ability to write complex SQL for data manipulation & extraction; additional experience in Python will be viewed favorably.,
Experience with orchestration tools like Airflow.,
Experience in Data Warehouse solutions like Snowflake,Redshift.,
Exposure to data visualization tools (Tableau, Sisense, Looker, Metabase etc.),
Knowledge of Github, JIRA is a plus.,
CDMP, CISA certifications preferred.,
Knowledge/Skills/Abilities/Behaviours,
A “build-test-measure-improve” mentality and are driven to motivate and lead teams to achieve impactful deliverables,
Passion for operational efficiency, quantitative performance metrics and process orientation,
Depth of knowledge in operationalizing data governance and providing measurable Data Quality Management,
Working knowledge of project planning methodologies, IT standards and guidelines.,
Customer passion, business focus and the ability to negotiate, facilitate and build consensus.",Senior Data Analyst (Quality & Governance),Jakarta
30+ days ago,"Love, Bonito Indonesia","You’ll have a front seat experience in impacting women across the globe through fashion and data. As the Senior Data Analyst, you will be a strategic business partner and provide direction to teams on using data from internal and external sources to provide insights to the management and business leads. You’ll be responsible for collaborating with key leads and other functional analysts to define data and analytic needs to the business. You’re a storyteller when it comes to the numbers and you’ll play a pivotal role in championing a data-driven approach in our decision-making.,
,
,Main Responsibilities,
,
Data framework & infrastructure,
,
,Comprehensive understanding of how teams and business functions work and collaborate with the Finance and management team to develop and track group and team KPIs.,
,Conscientiously monitor performance vs. targets to highlight levers and areas of strengths and weaknesses to management and business leads.,
,Work alongside management, finance team and other business leads in our business planning and expansion plans.,
,Work closely with different business stakeholders & business leads including our regional teams to leverage HQ data best practices,
,Having the align & consistent logic, definition and data framework that is shared locally & Regionally,
,
,
Data Reporting & Visualization,
,
,Build reports within BI tools, Tableau, Metabase and Google Sheets, based on various data sources such as Google Analytics, retail POS etc.,
,Build relevant and engaging visualizations to provide clear visibility and quick and useful insights into the health of the business - across the organization and functions.,
,Ensure high degree of automation when it comes to regularly-tracked reports and dashboards on Metabase and Google Sheets.,
,Ensure high data quality, reliability, and visibility of our analytics stack and workflow.,
,
,
Data culture & support for teams,
,
,Ability to deep dive to analyze data to interpret patterns, highlight challenges and areas of weaknesses, and suggest actionable solutions and improvements to the business.,
,Ability to slice and dice information and present findings and actionables in a succinct and easy-to-understand way to organization.,
,Lead long-term improvements in our analytics capabilities from a holistic view point & find ways to help the team measure and quantify value of the overall analytics/reporting portfolio.,
,Analysing web traffic, funnel and channel performance to identify improvement areas, web analytics tag management, using A/B and multi-variety tests to recommend key features for positive site experience.,
,Champion a data-driven culture and mindset across the organization - conduct analytics training, workshops for broader teams as and when necessary so that teams can get the most out of the reports and dashboards.,
,What You Shoud Be,
,Good grasp of the Love, Bonito brand and unique proposition.,
,A self starter with a strong work ethic and ‘get things done’ attitude.,
,A genuine curiosity to know how things work and how to make them better.,
,A knack for analyzing numbers and problem solving through data.,
,Ability to handle multiple priorities and solve ambiguous problems in a fast paced environment,
,Good communication and organization skills - a track record of meeting deadlines and OKRs,
,Able to work autonomously (or in teams) and have a disciplined approach when it comes to delivering timely results.,
,Strong attention to detail, good judgment and ability to be strategic - big picture perspective, understand priorities but still able to then zoom into the required details to dig deep.,
,Review and scope complex business problems and design technical solutions. You break down goals into clear actionable tasks involving multiple contributors with timelines and drive the team to achieve the final goal.,
,Introduce best practices for the team and ensure robust documentation and alignment,
,Superb relationship management and ability to work with other functional teams and business leads.,
,Must be fast learner and able to learn independently and mentor others.,
,Requirements & Experiences,
,2-3 years of experience working in an analytics role in a consumer company.,
,Significant experience as a senior BI in setting and executing on data strategy for a company.,
,Excellent communication skills on quantitative topics - able to tell a story with data, and translate data into palatable everyday language with all stakeholders.,
,Broad expertise in technical data tools and methods including statistics, predictive modeling, clustering, visualization etc.,
,Highly proficient in SQL, statistics and Excel.,
,Highly experienced in Google Analytics, proficient in Tableau or Metabase are preferred.,
,You enjoy working data and all its faults, benefits and opportunities.,
,A degree or higher in Computer Science, Statistics, Mathematics, Operations Research, Econometrics or related field.,
,Experience with Python (or R) for analytics contexts Experience in AWS Redshift is a big plus.,
,Job Summary,
,Job Level,
,
Senior Executive,
,
,Job Category,
,
Data,
,
,Opening,
,
1 Slot,
,
,Min. Educational Background,
,
Bachelor's Degree / S1,
,
,Salary,
,
Negotiable,
,
,Recruitment Type,
,
Fulltime,
,
,Office Address,
,
Jl. Minangkabau No.17a, RT.6/RW.8, Ps. Manggis, Setiabudi,
,
South Jakarta City, Jakarta 12970, Indonesia,
,Phone: +62 21 - 228 330 10,
,
,About Love, Bonito,
,
We pride ourselves as the best and largest vertically integrated, omni-channel women’s fashion brand in the region. Founded in 2010, we’ve grown to 150 people strong, proudly headquartered in Singapore with country offices in Indonesia and Malaysia and an omni-channel presence across these 3 markets. In addition to our retail franchise in Cambodia, we ship internationally to 15 markets (Hong Kong, China, Philippines and Australia, New Zealand, US, Canada, Macau, Japan, Korea, Vietnam, Thailand, Myanmar, Cambodia & Brunei).,
,
We are taking our definition of new female retail global, with our sights set on becoming the most thoughtful brand for the everyday woman.,
,How to apply?,
,
,You can send your CV to,
,
,Email,
careers.id@lovebonito.com
,Subject,
Senior Data Analyst - Business Intelligence - ,Your name",Senior Data Analyst - Business Intelligence,Jakarta
30+ days ago,GO-JEK,"About the Role,
As our Data Security and Governance Analyst for the GoTo Financial stream, you’ll take the wheel in developing, implementing, and maintaining policies and procedures related to Data Security. You’ll act as a bridge between the business intelligence, software engineering, compliance, and legal teams, enabling all related stakeholders to make data-driven, well-informed decisions while implementing proper data security and protection principles into their operations. You’ll have ample opportunity to flex your data analytical skills, collaborate with multinational talents from various fields, and contribute directly to securing data within our new GoTo Financial ecosystem.,
What You Will Do,
Develop and maintain IT policies, standards, and procedures according to applicable internal and external requirements,
Develop and maintain Information Security Policy and procedure related to Data Security & Governance,
Conduct information security assessments with internal and external stakeholders,
Ensure proper data security and compliance principles are implemented throughout the entire data life cycle with applicable internal and external requirements,
Ensure all activities related to data are protected, monitored, analyzed, and audited,
Ensure all activities related to data governance have proper policies, standards, and procedures,
Ensure data is accessible and inclusive to authorized employees to promote a data-driven environment,
,What You Will Need,
At least 2 years experience as Information Security, IT Governance, Risk and Compliance (IT GRC) or IT Auditors
,A Bachelor’s degree in computer science, information systems, mathematics, statistics, or other computational fields is a must,
Strong fundamentals in data security, data modeling, and data architecture is a must,
Proficiency in obtaining and analyzing data with SQL is a plus,
Excellent spoken and written skills in English in order to communicate with stakeholders of various backgrounds, and with our international teams,
Experience in creating and maintaining IT and information security policies and procedures,
One or more of the following certifications is preferred: CISM, CISSP, CISA, CRISC, ITIL,
,About the Team,
Our GoPay Data Security and Governance Team is a new team being assembled within our brand new GoTo Financial and GoTo Group. Our ecosystem processes millions of customer data that needs to be kept strictly confidential to prevent any issues such as data breaches from occurring. Thus, our team’s main responsibility is to oversee and manage the platform’s data security and privacy. We work in close collaboration with various Information Security teams within the GoTo Group who are equally responsible for ensuring security remains a top priority within our ecosystem.,
As a newly formed team, we are constantly tackling new challenges and adapting to changes that come with rapid scaling, some of which include the deployment of data security policy and compliance with the regulations for GoTo Financial entities. We bounce ideas and opinions off of each other during team meetings, learning and growing in our data security and governance expertise along the way.,
So, that's a snippet of our work. Although, that is not the only thing that we enjoy doing together as a team. Turns out, we have been enjoying WFH more than we thought we would . Off-hours, you’d probably find us watching the latest blockbuster movies, whipping up a delicious meal in the kitchen, or going for a run around the neighborhood.,
About Us,
Gojek is a Super App. It’s one app for ordering food, commuting, digital payments, shopping, hyper-local delivery, and dozen other products. It is Indonesia’s first and only decacorn. It's also the only Southeast Asian startup to be part of Fortune's list of 'Companies That Changed The World.',
Our Mission:, To create and scale positive socio-economic impact for our customers, driver-partners, business and MSMEs.,
As of 2018, Gojek processed more than $9 billion annualised gross transaction value across all markets where it operates - in Singapore, Thailand, Vietnam and Indonesia. We have the largest food delivery product in Asia, (outside of China), and the largest payments wallet in Southeast Asia.,
Our investors include Google, Facebook, PayPal, Sequoia Capital, Tencent Holdings among others.,
Gojek is committed to building a diverse and inclusive workplace and is an equal opportunity employer. We do not discriminate on the basis of race, religion, national origin, gender, gender identity, sexual orientation, disability, age, education status, or any other legally protected status.",Data Security & Governance Analyst - GoTo Financial,Jakarta
